Date,Ticker,High,Low,Open,Close,Volume,Adj Close
2022-08-08,ACN,312.80999755859375,308.5199890136719,310.5,310.3299865722656,1604700,310.3299865722656
2022-08-09,ACN,311.0799865722656,307.82000732421875,308.1000061035156,309.7900085449219,1761100,309.7900085449219
2022-08-10,ACN,317.7699890136719,314.3699951171875,315.0,316.4800109863281,1474800,316.4800109863281
2022-08-11,ACN,319.8699951171875,313.7900085449219,317.75,314.4200134277344,1570100,314.4200134277344
2022-08-12,ACN,320.94000244140625,314.44000244140625,316.760009765625,320.44000244140625,1774400,320.44000244140625
2022-08-15,ACN,320.9599914550781,317.5899963378906,317.67999267578125,320.3299865722656,1125300,320.3299865722656
2022-08-16,ACN,322.8800048828125,318.1199951171875,318.19000244140625,320.7799987792969,1596000,320.7799987792969
2022-08-17,ACN,320.3299865722656,315.6300048828125,317.4200134277344,318.45001220703125,1505900,318.45001220703125
2022-08-18,ACN,320.8599853515625,316.4200134277344,319.0,319.4599914550781,1386200,319.4599914550781
2022-08-19,ACN,317.75,313.57000732421875,316.8999938964844,315.2900085449219,1672500,315.2900085449219
